Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
RHC-MA-1.OKMH.local,-,Win10,3/6/2020,Default Group,N/A
RHC-MA-2.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
RHC-SCRIBE-DESKTOP.OKMH.local,-,Win10,Online,Default Group,N/A
RHC_LVN.OKMH.local,-,Win10,Online,Default Group,N/A
RHC_Scribe.OKMH.local,-,Win10,Online,Default Group,N/A
SCRIBE-RHC-2.OKMH.local,-,Win10,4/23/2020,Default Group,N/A
TSYSTEMEVI.OKMH.local,Needs Restart,Win2008,Online,Default Group,N/A
TSYSTEMSTS2.OKMH.local,-,Win2008,Online,Default Group,N/A
Wellness-0001.OKMH.local,-,Win10,Online,Default Group,N/A
Wellness0003.OKMH.local,-,Win10,Online,Default Group,N/A
XRAY-OKMH00486.OKMH.local,-,Win10,Online,Default Group,N/A
