Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
PMC128,PMC128,pmc.local,"May 15, 2020 8:54:02 PM","PMC\asmith (Since: May 14, 2020 8:12:59 AM)","May 15, 2020 1:07:18 PM",12.177.172.90/10.10.9.133;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 02YYK5 ,OptiPlex 7020,BJTK282,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz ,7.91 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,ST500DM0 02-1BD142 SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GTA0N SCSI CdRom Device,Intel(R) Ethernet Connection I217-LM,C,64:00:6A:7C:EB:F9 (Primary),0,0,0,0,1,0,0,2,0,0
PMC133,PMC133,pmc.local,"May 18, 2020 12:52:33 AM","PMC\rblack (Since: May 11, 2020 7:41:13 AM)","May 8, 2020 9:57:58 PM",12.177.172.90/10.10.9.109;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1709,16299.431,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,6G74JK2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,15.89 GB,Intel(R) HD Graphics 630,USB Audio Device,SanDisk X400 2.5 7MM 256GB (238GB),HL-DT-ST DVD-ROM DU90N,Realtek PCIe GBE Family Controller,C,D8:9E:F3:05:43:17 (Primary),0,0,0,0,1,11,23,6,1,3
PMC135,PMC135,pmc.local,"May 15, 2020 8:54:01 PM","PMC\gcullum (Since: May 15, 2020 7:48:49 AM)","May 15, 2020 12:48:29 PM",12.177.172.90/10.10.9.113;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1709,16299.371,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,6G72JK2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,15.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SanDisk X400 2.5 7MM 256GB (238GB),HL-DT-ST DVD-ROM DU90N,Realtek PCIe GBE Family Controller,C,D8:9E:F3:05:6A:99 (Primary),0,0,0,0,1,2,13,1,1,2
PMC139,PMC139,pmc.local,"May 15, 2020 8:53:58 PM","PMC\kwatts (Since: May 11, 2020 8:10:47 AM)","May 11, 2020 1:07:43 PM",12.177.172.90/10.10.9.120;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJNB4R (29GB),MINIX SSD 128GB (119GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #2,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:5C:CF FC:77:74:2A:51:0C (Primary)FC:77:74:2A:51:10 ,0,0,0,0,1,0,4,3,0,0
PMCLPT129,PMCLPT129,pmc.local,"May 15, 2020 8:54:00 PM","PMC\jtucker (Since: May 14, 2020 8:17:11 AM)","May 15, 2020 3:00:40 PM",12.177.172.90/10.10.9.141;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Windows Defender,HP,HP 83BA ,HP Spectre x360 Convertible 15-ch0xx,5CD8332GZZ,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz ,15.84 GB,Intel(R) UHD Graphics 620,Realtek High Definition Audio(SST),SAMSUNG MZVLB512HAJQ-000H1 (476GB),,"Intel(R) Wireless-AC 9260,Bluetooth Device (Personal Area Network),Microsoft Wi-Fi Direct Virtual Adapter #2",C,B4:6B:FC:2F:9E:55 (Primary)B4:6B:FC:2F:9E:59 B6:6B:FC:2F:9E:55 ,0,0,0,0,0,0,4,3,0,0
PMCTAB100,PMCTAB100,pmc.local,"May 14, 2020 11:09:59 PM","PMCTAB100\jchanski (Since: Apr 29, 2020 9:28:01 AM)","April 29, 2020 1:35:59 PM",8.40.202.151/10.10.9.107;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.592,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Surface Go ,Surface Go,008936285051,Intel(R) Pentium(R) CPU 4415Y @ 1.60GHz ,7.91 GB,Intel(R) HD Graphics 615,Realtek High Definition Audio(SST),KBG30ZPZ256G TOSHIBA (238GB),,"Qualcomm Atheros QCA61x4A Wireless Network Adapter,Generic Mobile Broadband Adapter,Bluetooth Device (Personal Area Network)",C,B0:95:93:54:40:41 D8:C4:97:DA:C4:86 (Primary)D8:C4:97:DA:C4:87 ,0,0,0,0,1,0,13,3,0,0
PMC104,PMC104,pmc.local,"May 18, 2020 12:52:32 AM","PMC\jblock (Since: May 11, 2020 8:19:18 AM)","May 4, 2020 1:36:15 PM",12.177.172.90/10.10.9.122;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1,6.1,7601.24544,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 0A54h ,Compaq dc7700,2UA73812SY,Intel(R) Pentium(R) D CPU 3.40GHz ,2.98 GB,RADEON X600 Series (Microsoft Corporation - WDDM) ,Realtek High Definition Audio,ST500DM002-1BD142 ATA Device (465GB),TSSTcorp CDDVDW TS-H653Q ATA Device,Intel(R) 82566DM Gigabit Network Connection,C,00:1C:C4:55:9D:FE (Primary),0,0,0,0,1,0,1,1,0,0
PMC105,PMC105,pmc.local,"March 4, 2020 2:32:43 PM","PMC\bkarnes (Since: Feb 27, 2020 9:12:48 AM)","February 27, 2020 3:12:24 PM",12.177.172.90/10.10.9.131;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,"SAMSUNG ELECTRONICS CO., LTD.","SAMSUNG ELECTRONICS CO., LTD. SAMSUNG_NP1234567890 ",900X3C/900X3D/900X4C/900X4D,HU7R91HCB00048,Intel(R) Core(TM) i7-3517U CPU @ 1.90GHz ,7.71 GB,Intel(R) HD Graphics 4000,Realtek High Definition Audio,SAMSUNG MZMPC256HBGJ-000 (238GB),ELBY CLONEDRIVE SCSI CdRom Device,"Bluetooth Device (Personal Area Network),Realtek PCIe GBE Family Controller,Intel(R) Centrino(R) Advanced-N 6235,Microsoft Virtual WiFi Miniport Adapter,Microsoft Virtual WiFi Miniport Adapter #2",C,50:B7:C3:81:B7:19 C8:F7:33:4A:B9:AB C8:F7:33:4A:B9:AC C8:F7:33:4A:B9:AF (Primary),0,0,0,0,0,0,0,1,0,0
PMC115,PMC115,pmc.local,"February 21, 2020 10:38:28 PM","PMC\bkarnes (Since: Feb 21, 2020 4:08:25 PM)","February 21, 2020 10:05:53 PM",12.177.172.90/10.10.9.147;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0PU052 ,OptiPlex 755,94HM7G1,Intel(R) Core(TM)2 Duo CPU E8200 @ 2.66GHz ,3.86 GB,Intel(R) Q35 Express Chipset Family,SoundMAX Integrated Digital HD Audio,Hitachi HUA721010KLA330 ATA Device (931GB),TEAC DVD-ROM DV28SV ATA Device,Intel(R) 82566DM-2 Gigabit Network Connection,C,00:1E:C9:77:FB:4F (Primary),0,0,0,0,0,0,12,4,0,1
PMC126,PMC126,pmc.local,"May 18, 2020 12:52:31 AM","PMC\kdavidson (Since: May 13, 2020 11:00:23 AM)","May 12, 2020 9:07:31 PM",12.177.172.90/10.10.9.121;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.657,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 0HY9JP ,OptiPlex 790,HDSB1R1,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz ,7.96 GB,AMD Radeon HD 5450,High Definition Audio Device,WDC WD3200AAKX-753CA1 (298GB),Optiarc DVD+-RW AD-7270H,Intel(R) 82579LM Gigabit Network Connection,C,18:03:73:CB:45:70 (Primary),0,0,0,0,0,0,3,1,0,1
