Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,Core Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations,Agent Operational State
brr118,Default site,eva,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:33.971596Z,2020-12-16T21:17:58.464232Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:22:74', '18:60:24:f8:22:74']",Online,Connected,Up to date,Completed (2020-12-16T23:01:24.415099Z),"['192.168.0.176', 'fe80::8b7:27b3:8723:c70']",No,Off,Requires patching,c2d8265a84734b6fbb0dbbec5d002b0b,1047944157184131756,N/A,N/A,['Fallback'],Not disabled by the user
BRR130,Default site,ronda,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:34.236127Z,2020-11-23T21:34:09.338544Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,16 GB,6,6,"['18:60:24:aa:8a:d7', '18:60:24:aa:8a:d7']",Online,Connected,Up to date,N/A,"['192.168.0.112', 'fe80::4cc0:a6f8:35b7:de86']",No,Off,Requires patching,a9609e83ee344b2784dd0bd10da0619a,1031282459638598231,N/A,N/A,['Fallback'],Not disabled by the user
BRR132,Default site,greg,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:56.568624Z,2020-12-16T21:38:32.865714Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['10:e7:c6:2f:49:e9', '10:e7:c6:2f:49:e9']",Online,Connected,Up to date,Completed (2020-12-16T22:58:04.750344Z),"['192.168.0.124', 'fe80::749e:adbc:37c1:a76c']",No,Off,Up to date,9097c110e4384cc4a514d834b1e5facf,1047954512107760287,N/A,N/A,['Fallback'],Not disabled by the user
BRR134,Default site,anngleason,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:56.764446Z,2020-12-16T22:53:34.598513Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['10:e7:c6:2f:4b:4e', '10:e7:c6:2f:4b:4e']",Online,Connected,Up to date,Completed (2020-12-17T00:20:54.011373Z),"['192.168.0.125', 'fe80::6d1f:b063:a6d9:aef4']",No,Off,Up to date,c7dbe09c96154015b2325e864f5dd10a,1047992275342362398,N/A,N/A,['Fallback'],Not disabled by the user
brr117,Default site,Brian,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:02.284941Z,2020-12-16T21:17:57.824579Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:24:06', '18:60:24:f8:24:06']",Online,Connected,Up to date,Completed (2020-12-16T23:05:43.185174Z),"['192.168.0.175', 'fe80::284a:8606:2a0a:73c9']",No,Off,Requires patching,7380c68de9324f12831c8d31c3484b93,1047944151840588412,N/A,N/A,['Fallback'],Not disabled by the user
BRR133,Default site,jasmine,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:02.865821Z,2020-12-16T22:03:10.897074Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['c8:d9:d2:17:7d:6e', 'c8:d9:d2:17:7d:6e']",Online,Connected,Up to date,Completed (2020-12-16T23:23:29.593900Z),"['192.168.0.147', 'fe80::5817:7368:e71f:85fb']",No,Off,Up to date,350405aead4848bd879be49f3aabd9b5,1047966910689339885,N/A,N/A,['Fallback'],Not disabled by the user
BRR136,Default site,trevor,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.3.12.172,2021-01-19T18:21:03.747197Z,2021-01-04T22:11:28.753367Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,16 GB,4,4,['8c:dc:d4:3c:89:a9'],Online,Connected,Up to date,Completed (2021-01-04T23:39:42.275454Z),['192.168.0.152'],No,Off,Requires patching,9a0556392f6f43c7a96dc1deaeecc4e4,1061741825935054243,N/A,N/A,['Fallback'],Not disabled by the user
BRR129,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:04.198313Z,2020-12-16T21:17:44.798546Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,16 GB,6,6,"['f4:39:09:17:8b:c9', 'f4:39:09:17:8b:c9']",Online,Connected,Up to date,Completed (2020-12-16T22:47:08.728422Z),"['192.168.0.187', 'fe80::30c0:1397:7081:2a07']",No,On,Up to date,903674fd0fef45dabcf56610959f2abd,1047944042545408398,N/A,N/A,['Fallback'],Not disabled by the user
BRR115,Default site,jake,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:10.268638Z,2020-12-16T21:17:53.364902Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,"['18:60:24:e4:62:18', '18:60:24:e4:62:18']",Online,Connected,Up to date,Completed (2020-12-16T22:39:15.944916Z),"['192.168.0.172', 'fe80::f0a5:a7eb:1702:7bc7']",No,Off,Up to date,19ac9c040d2f405aa2f755960974282a,1047944114427395734,N/A,N/A,['Fallback'],Not disabled by the user
BRR108,Default site,janna,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:10.514252Z,2020-12-16T21:18:25.183490Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['50:9a:4c:42:fc:80', '50:9a:4c:42:fc:80']",Online,Connected,Up to date,Completed (2020-12-17T02:01:42.479607Z),"['192.168.0.160', 'fe80::39c1:104f:4de7:c6b3']",No,Off,Requires patching,6c10965f199b41b19033c725127f1d71,1047944381344530309,N/A,N/A,['Fallback'],Not disabled by the user
BRR113,Default site,trisha,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:14.719094Z,2020-12-16T21:17:58.220640Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,"['18:60:24:e4:61:f1', '18:60:24:e4:61:f1']",Online,Connected,Up to date,Completed (2020-12-16T23:03:25.999891Z),"['192.168.0.173', 'fe80::3d0e:580f:22e5:6f62']",No,Off,Up to date,aafc59bd2827493fbc3e2a3fa0cd7912,1047944155162477206,N/A,N/A,['Fallback'],Not disabled by the user
BRRABACUS,Default site,N/A,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:15.199551Z,2021-01-18T16:45:00.230951Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,32 GB,8,8,"['00:15:5d:02:94:02', '00:15:5d:02:94:02']",Online,Connected,Up to date,Completed (2021-01-19T02:50:56.633011Z),"['192.168.0.12', 'fe80::e91e:6cee:a772:c31a']",No,Off,Requires patching,e6752497e8ab4518b982e301bdf663f0,1071724365714849883,N/A,N/A,['Fallback'],Not disabled by the user
BRR104,Default site,Amber,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:15.570203Z,2020-12-16T21:18:22.798830Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['f0:92:1c:dc:10:02', 'f0:92:1c:dc:10:02']",Online,Connected,Up to date,Completed (2020-12-17T02:26:15.183017Z),"['192.168.0.156', 'fe80::3163:c92d:47d5:353d']",No,Off,Up to date,d17bde4f35d14de8a1347e2d95070c1f,1047944361337700030,N/A,N/A,['Fallback'],Not disabled by the user
BRR106,Default site,raina,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:16.056334Z,2020-12-16T21:18:45.524460Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['18:66:da:38:49:a9', '18:66:da:38:49:a9']",Online,Connected,Up to date,Completed (2020-12-17T01:41:41.375884Z),"['192.168.0.150', 'fe80::10a8:ebb4:a2e9:59bb']",No,Off,Up to date,2d3f80307cbc47d7bd562776aa682901,1047944551960443511,N/A,N/A,['Fallback'],Not disabled by the user
BRR126,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:17.897183Z,2020-12-16T21:17:38.633659Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8f:5e', 'f4:39:09:17:8f:5e']",Online,Connected,Up to date,Completed (2020-12-16T22:50:00.978574Z),"['192.168.0.179', 'fe80::d8db:8d0f:5d39:f2d6']",No,Off,Up to date,1b445340ab89497b9e1f0d3d25d96311,1047943990846414663,N/A,N/A,['Fallback'],Not disabled by the user
BRR111,Default site,Claudia,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:20.742520Z,2020-12-16T21:17:46.711114Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:de:38:f1', '18:60:24:de:38:f1']",Online,Connected,Up to date,Completed (2020-12-16T23:01:10.601702Z),"['192.168.0.161', 'fe80::f47d:8233:e394:37c8']",No,Off,Up to date,c889c8b8a6bb4ddab57db1344f6861cc,1047944058617983398,N/A,N/A,['Fallback'],Not disabled by the user
BRR109,Default site,Craig,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:20.807768Z,2020-12-16T21:18:48.085524Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['50:9a:4c:42:fa:76', '50:9a:4c:42:fa:76']",Online,Connected,Up to date,Completed (2020-12-17T05:29:18.854877Z),"['192.168.0.165', 'fe80::fd5e:97ee:ea94:63db']",No,Off,Requires patching,b2ffa30185c943da9722cdefb7a98a84,1047944573435280910,N/A,N/A,['Fallback'],Not disabled by the user
BRR121VM,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:21:21.844615Z,2020-11-23T16:30:19.333269Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,2,2,"['00:15:5d:02:94:0b', '00:15:5d:02:94:0b']",Online,Connected,Up to date,Completed (2020-11-23T18:33:41.255318Z),"['192.168.0.184', 'fe80::1dc:35db:bece:26dc']",No,Off,Up to date,ce9fde26814b40cb875319003dfd4466,1031129535266218240,N/A,N/A,['Fallback'],Not disabled by the user
