Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
PC27,PC27,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\nurses (Since: May 12, 2020 8:34:08 AM)","May 13, 2020 9:13:08 PM",97.77.159.210/192.168.16.95;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 042P49 ,OptiPlex 3010,G711CX1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics,NVIDIA Virtual Audio Device (Wave Extensible) (WDM),WDC WD2500AAKX-75U6AA0 ATA Device (232GB),PLDS DVD+-RW DH-16ACS ATA Device,Realtek PCIe GBE Family Controller,C,00:FF:3B:68:31:4E A4:1F:72:5A:81:25 (Primary),0,0,0,0,0,0,1,3,0,4
PC17,PC17,Treehouse.local,"May 14, 2020 2:52:06 AM","TREEHOUSE\mmorrison (Since: May 13, 2020 8:29:08 AM)","May 7, 2020 3:48:04 PM",97.77.159.210/192.168.16.116;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0D28YY ,OptiPlex 790,BY6HTR1,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz ,7.96 GB,NVIDIA GeForce GT 720,NVIDIA High Definition Audio,KINGSTON SA400S37240G ATA Device (223GB),"ELBY CLONEDRIVE SCSI CdRom Device,PLDS DVD-ROM DS-8D3SH ATA Device",Intel(R) 82579LM Gigabit Network Connection,C,18:03:73:D4:66:9E (Primary),0,0,0,0,1,0,1,2,0,1
PC28,PC28,Treehouse.local,"May 14, 2020 2:52:06 AM","TREEHOUSE\dmarrero (Since: May 11, 2020 7:53:27 AM)","April 30, 2020 3:04:54 PM",97.77.159.210/192.168.16.101;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7101.5000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 042P49 ,OptiPlex 3010,G712CX1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz ,7.97 GB,ATI Radeon HD 2400 Pro,Conexant HD Audio,WDC WD2500AAKX-75U6AA0 ATA Device (232GB),PLDS DVD+-RW DH-16ACS ATA Device,Realtek PCIe GBE Family Controller,C,A4:1F:72:5A:DB:77 (Primary),0,0,0,0,0,0,1,1,0,0
CENTRICITYNEW,CENTRICITYNEW,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\administrator (Since: Mar 16, 2020 10:23:39 PM)","March 17, 2020 3:06:44 AM",97.77.159.210/192.168.16.75;169.254.242.249;,Treehouse Pediatrics,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,,Dell Inc.,Dell Inc. 00NH4P ,PowerEdge R710,6FF0XQ1,2x Intel(R) Xeon(R) CPU E5645 @ 2.40GHz ,31.99 GB,Standard VGA Graphics Adapter,N/A,"DELL PERC H700 SCSI Disk Device (1116GB),Seagate Backup+  Desk USB Device (7452GB)",TEAC DVD-ROM DV-28SW ATA Device,Broadcom BCM5709C NetXtreme II GigE (NDIS VBD Client),C,02:00:4C:4F:4F:50 78:2B:CB:33:32:0A (Primary)78:2B:CB:33:32:0C 78:2B:CB:33:32:0E ,1,0,1,0,1,0,1,2,0,1
PC5NEW,PC5NEW,Treehouse.local,"May 14, 2020 2:52:06 AM","TREEHOUSE\KimR (Since: May 11, 2020 7:59:05 AM)","May 1, 2020 8:31:49 PM",97.77.159.210/192.168.16.113;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 042P49 ,OptiPlex 3010,905JZV1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz ,7.97 GB,NVIDIA GeForce GT 720,NVIDIA High Definition Audio,WDC WD2500AAKX-75U6AA0 ATA Device (232GB),HL-DT-ST DVD+-RW GHA2N ATA Device,Realtek PCIe GBE Family Controller,C,78:45:C4:32:07:66 (Primary),0,0,0,0,0,0,3,1,0,1
PC40,PC40,Treehouse.local,"April 3, 2020 8:30:59 PM","TREEHOUSE\keggeling (Since: Apr 2, 2020 1:25:09 PM)","April 2, 2020 6:14:59 PM",97.77.159.210/192.168.16.136;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,LENOVO,LENOVO Aptio CRB ,10DCS00F00,MJ027TUN,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz ,7.92 GB,Intel(R) HD Graphics,Realtek High Definition Audio,ST500LM021-1KJ152 ATA Device (465GB),,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Wireless-N 7260",C,D8:CB:8A:00:C7:EB (Primary)D8:FC:93:A8:1C:D0 ,0,0,0,0,1,0,1,2,0,2
PC23-PC,PC23-PC,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\Cflores (Since: May 12, 2020 3:01:29 PM)","May 13, 2020 9:35:37 PM",97.77.159.210/192.168.16.143;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 042P49 ,OptiPlex 3010,CT17QW1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz ,3.97 GB,ATI Radeon HD 2400 Pro,Conexant HD Audio,WDC WD2500AAKX-75U6AA0 ATA Device (232GB),TSSTcorp DVD+-RW SH-216CB ATA Device,Realtek PCIe GBE Family Controller,C,78:45:C4:39:E9:2B (Primary),0,0,0,0,0,0,0,2,0,1
PC39,PC39,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\KaraM (Since: May 12, 2020 8:04:54 AM)","May 13, 2020 8:53:51 PM",97.77.159.210/192.168.16.99;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO Aptio CRB ,10DCS00F00,MJ027UJH,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz ,7.92 GB,Intel(R) HD Graphics,Realtek High Definition Audio,ST500LM021-1KJ152 ATA Device (465GB),,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Wireless-N 7260",C,D8:CB:8A:00:AA:75 (Primary)D8:FC:93:A7:59:C1 ,0,0,0,0,1,0,1,2,0,2
PC38,PC38,Treehouse.local,"April 3, 2020 7:26:17 PM","TREEHOUSE\hashley (Since: Apr 2, 2020 3:21:17 PM)","February 18, 2020 7:14:36 PM",97.77.159.210/192.168.16.210;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO Aptio CRB ,10DCS00F00,MJ027TVA,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz ,7.92 GB,Intel(R) HD Graphics,Realtek High Definition Audio,ST500LM021-1KJ152 ATA Device (465GB),,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Wireless-N 7260",C,D8:CB:8A:00:AD:EC (Primary)D8:FC:93:A8:1A:92 D8:FC:93:A8:1A:96 ,0,0,0,0,1,0,1,2,0,2
PC37,PC37,Treehouse.local,"May 14, 2020 2:52:07 AM","TREEHOUSE\tjustice (Since: Apr 30, 2020 10:12:02 AM)","April 30, 2020 3:02:38 PM",97.77.159.210/192.168.16.56;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO Aptio CRB ,10DCS00F00,MJ027UHZ,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz ,7.92 GB,Intel(R) HD Graphics,Realtek High Definition Audio,ST500LM021-1KJ152 ATA Device (465GB),,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Wireless-N 7260",C,D8:CB:8A:00:AB:9E (Primary)D8:FC:93:A7:C9:98 D8:FC:93:A7:C9:9C ,0,0,0,0,1,0,2,2,0,2
