Health Status,Computer Name,Operating System,IPv4 Addresses,IPv6 Addresses,Last User,Groups,Last Active,InterceptX,Endpoint
Healthy,DTYCMP02,WIN10,10.150.41.66,fe80::3c61:3460:d826:fc41,smartinez,,"Jan 19, 2021 1:50 PM",assigned,assigned
Healthy,DTYCMPMGR,WIN10,10.150.71.202,fe80::5ccc:2537:1c8a:4d1,Dietary,,"Jan 19, 2021 1:50 PM",assigned,assigned
Healthy,MSCCMP05,WIN10,10.150.73.41,fe80::80f1:c7a:2f94:9500,ER,,"Jan 19, 2021 1:50 PM",assigned,assigned
Healthy,EXECMPCONFRM,WIN10,10.150.71.188,fe80::9c32:201d:bf5e:f2cf,kjones,,"Jan 19, 2021 1:49 PM",assigned,assigned
Healthy,UCCCMP13,WIN10,10.150.74.235,fe80::f88d:4cca:23c7:d38a,mwilson,,"Jan 19, 2021 1:49 PM",assigned,assigned
Healthy,CSHLAP003,WIN7,10.150.41.56,,kfurl,,"Jan 19, 2021 1:47 PM",assigned,assigned
Healthy,HBOLPT03,WIN10,10.150.41.52,fe80::6118:231f:f201:a122,gaguilar,,"Jan 19, 2021 1:47 PM",assigned,assigned
Healthy,QACMP07,WIN10,10.150.71.159,fe80::c7a:dcac:7834:cc9b,rdobbins,,"Jan 19, 2021 1:47 PM",assigned,assigned
Healthy,ORMTHIN01,WIN7,10.150.20.31,,cvackar,,"Jan 19, 2021 1:46 PM",assigned,assigned
Healthy,ORMCMP12,WIN10,10.150.20.68,fe80::29a7:dbcd:7f30:14c0,cvackar,,"Jan 19, 2021 1:46 PM",assigned,assigned
Healthy,HBOCMP02,WIN10,10.150.73.52,fe80::81ca:5df6:ba67:22bb,pmcgrew,,"Jan 19, 2021 1:45 PM",assigned,assigned
Healthy,HHEAC12219,WIN7,10.150.77.52,,mtalamantez,,"Jan 19, 2021 1:44 PM",assigned,assigned
Healthy,ORTLPT03,WIN10,10.150.41.55,fe80::3041:1df5:9170:fc91,skurz,,"Jan 19, 2021 1:44 PM",assigned,unassigned
Healthy,CSHCMPDR,WIN10,10.150.73.44,fe80::4180:5d82:2216:4fcf,mhasan,,"Jan 19, 2021 1:42 PM",assigned,assigned
Healthy,CFHLPT05,WIN10,10.150.41.121,fe80::9d0e:b2d4:6f65:6c84,ayates,,"Jan 19, 2021 1:42 PM",assigned,assigned
Critical,UCCCMP07,WIN10,10.150.74.45,,mleija,,"Jan 19, 2021 1:41 PM",assigned,assigned
Healthy,RADCMP04,WIN10,10.150.20.55,fe80::29e6:6ff2:1de1:8256,adelarosa,,"Jan 19, 2021 1:39 PM",assigned,assigned
Healthy,MSCCMP01,WIN10,10.150.73.55,,sclinic,,"Jan 19, 2021 1:38 PM",assigned,assigned
Healthy,HBOLPT04,WIN10,10.150.41.102,fe80::b556:c09f:2446:f343,tholloway,,"Jan 19, 2021 1:38 PM",assigned,assigned
Healthy,PHACMP03,WIN10,10.150.20.9,fe80::acd7:21a5:2f80:b9d5,garanda,,"Jan 19, 2021 1:37 PM",assigned,assigned
Healthy,CSHCMP08,WIN10,10.150.41.116,,atankersley,,"Jan 19, 2021 1:37 PM",assigned,assigned
Healthy,ORMCMP09,WIN10,10.150.20.75,fe80::fc8b:6a42:90fc:5854,msutti,,"Jan 19, 2021 1:36 PM",assigned,assigned
Healthy,LABPHS2158,WIN10,10.150.71.101,,sstover,,"Jan 19, 2021 1:35 PM",assigned,assigned
Healthy,refcoord01,WIN10,10.150.77.35,,msutti,,"Jan 19, 2021 1:35 PM",assigned,assigned
Healthy,ORMCMP08,WIN10,10.150.20.48,,amathewjoseph,,"Jan 19, 2021 1:33 PM",assigned,assigned
