Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
IT-Vacant.local.ecmh.org,-,Win10,4/9/2020,Default Group,N/A
LabServer.local.ecmh.org,-,Win2012,Online,Default Group,N/A
LAPTOP-22LFEJ6S.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
LAPTOP-5M20FERE.local.ecmh.org,-,Win10,4/2/2020,Default Group,N/A
LAPTOP-8BNAGGD9.PH.palacioshospital.net,-,Win10,5/26/2020,Default Group,N/A
LAPTOP-8LUT0D0L.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
LAPTOP-E9DHVU1C.local.ecmh.org,-,Win10,Online,Default Group,N/A
LAPTOP-H931BSH6.local.ecmh.org,-,Win10,Online,Default Group,N/A
LAPTOP-HJDPPUM3.local.ecmh.org,-,Win10,Online,Default Group,N/A
LAPTOP-ICJRL76O,-,Win10,12/22/2019,Default Group,N/A
LAPTOP-MCTTVG3K.local.ecmh.org,-,Win10,Online,Default Group,N/A
LAPTOP-SBGLBKMN.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
Laptop-Tran.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
Laptop001.local.ecmh.org,-,Win7,2/21/2020,Default Group,N/A
Laptop002.local.ecmh.org,-,Win7,5/21/2020,No Firewall,N/A
Laptop003.local.ecmh.org,-,Win10,4/24/2020,Default Group,N/A
Laptop004.local.ecmh.org,-,Win10,5/19/2020,Default Group,N/A
Laptop005.local.ecmh.org,-,Win10,Online,Default Group,N/A
Laptop006.local.ecmh.org,-,Win10,5/22/2020,Default Group,N/A
Laptop007.local.ecmh.org,-,Win10,Online,Default Group,N/A
Laptop011.local.ecmh.org,-,Win7,4/17/2020,Default Group,N/A
Laptop012.local.ecmh.org,-,Win7,5/16/2020,Default Group,N/A
Laptop013.local.ecmh.org,-,Win10,4/17/2020,Default Group,N/A
Laptop015.local.ecmh.org,-,Win10,5/22/2020,Default Group,N/A
Laptop016.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
Laptop018.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
Laptop019.local.ecmh.org,-,Win10,Online,Default Group,N/A
LAPTOP020.local.ecmh.org,-,Win7,5/8/2020,Default Group,N/A
Laptop021.local.ecmh.org,-,Win10,Online,Default Group,N/A
Laptop022.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
Laptop18-030.local.ecmh.org,-,Win10,3/6/2020,Default Group,N/A
Liz,-,Win10,5/26/2020,Default Group,N/A
LOUISE-CLINIC.local.ecmh.org,-,Win10,4/10/2020,Default Group,N/A
LOUISE-NURSE.local.ecmh.org,-,Win10,Online,Default Group,N/A
